model,statistics
GAS,24984.65052253704
NW_PARp,44357.51353668948
NW_PARp-A,33340.42713003727
PARp-A_J_20,26764.345941192714
PARp-A_J_30,27130.811734665185
PARp-A_J_40,25357.526081241285
PARp-A_J_50,24967.566213211452
PARp-A_J_60,26449.12205933096
PARp-A_J_70,30890.78075960597
PARp-A_J_80,31275.16748840437
PARp-A_R_1,30716.277067940035
PARp-A_R_3,27975.75396409311
PARp-A_R_10,22776.347457543685
SARIMA,15773.30611924711
SARIMA_Log,24295.539026932478
SeasonalNaive,24659.315482907896
StructuralModel,53282.92252465905
StructuralModel_Log,25284.288326402446
MonthlyMedian,38457.53116415787
