model,statistics
GAS,35002.65378956609
NW_PARp,54420.48615656582
NW_PARp-A,42644.067306684185
PARp-A_J_20,32537.627251177048
PARp-A_J_30,34064.39834317398
PARp-A_J_40,33362.14018631463
PARp-A_J_50,32575.63683964598
PARp-A_J_60,34004.59785850509
PARp-A_J_70,39841.02942553133
PARp-A_J_80,40641.4963069635
PARp-A_R_1,40094.40026563724
PARp-A_R_3,36372.49722968411
PARp-A_R_10,28879.00502450764
SARIMA,29767.280766058775
SeasonalNaive,24659.315482907896
StructuralModel,29817.614821275503
MonthlyMedian,38457.53116415787
