model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
GAS,IC_LB,-410.66554769561367,-150.0336424478487,-210.0174861293367,-249.13615183381444,-399.1755600916041,-583.3032873081753,-698.6352719273159,-740.7180657068825,-669.6329063475563,-590.6391583037433,-561.5713298785793,-349.91904696320444,-105.98545980367226,253.38425710434194,296.622353948555,-115.50344087569738,-416.29910849104203,-800.5120717227193,-887.0997707337644,-1073.322851114672,-1144.1172537913403,-1095.5404873633904,-3.177997459705239e14,-2.1214928323558945e12
GAS,mean,728.5569292197977,2320.2612250710113,2140.9224508729067,1302.6708834575577,878.3613663500531,627.868030689499,553.0935865203537,555.1907488847191,667.32146047652,781.116378317109,842.5892968322412,1337.210847917253,2417.697534974519,3778.3129228075754,3759.096492641588,2456.1390371712305,1369.5177970810946,832.7459093562237,804.3390642001184,657.2353364679809,598.9675883969412,651.5942046979696,3.487257500340605e14,2.328471376276865e12
GAS,IC_UB,1867.779406135209,4790.556092589872,4491.86238787515,2854.47791874893,2155.8982927917104,1839.0393486871735,1804.8224449680233,1851.0995634763208,2004.2758273005961,2152.8719149379613,2246.7499235430614,3024.3407427977104,4941.380529752711,7303.241588510809,7221.570631334622,5027.781515218158,3155.334702653231,2466.003890435167,2495.777899134001,2387.793524050634,2342.0524305852227,2398.7288967593295,1.0152512460386449e15,6.778435584909625e12
NW_PARp,IC_LB,-269.3903671720469,-385.9397148293354,-541.8401508338588,-581.5509957377062,-584.8344406381196,-456.77461870168463,-343.37289173966417,-187.2466455753123,42.69716394422653,54.773728712152774,91.09877270115112,160.471395640919,151.90334711738717,251.45115909347135,316.4260206097655,355.3629670427108,326.30194254651065,270.95521553966205,219.48572140004921,306.4356751018163,392.4802392797003,478.4728740157759,448.5922558207242,360.1901983832365
NW_PARp,mean,145.69820536184204,278.06678288079485,270.9812781000003,292.44704842281874,324.15303185810865,473.5885967006801,606.4626487328769,773.603098034483,1010.9374910763885,1030.4786203846156,1077.5273817957755,1154.8246859219855,1153.1018301071438,1255.440677805756,1329.4197044565224,1379.816662153285,1356.4398324632357,1304.3191978888888,1260.4149157835823,1354.7367647744372,1448.379740265151,1541.3426886641228,1518.5693670384624,1437.391001666666
NW_PARp,IC_UB,560.786777895731,942.0732805909252,1083.8027070338594,1166.4450925833437,1233.1405043543368,1403.9518121030449,1556.298189205418,1734.4528416442781,1979.1778182085504,2006.1835120570786,2063.9559908904,2149.177976203052,2154.3003130969005,2259.4301965180407,2342.413388303279,2404.2703572638593,2386.5777223799605,2337.6831802381157,2301.344110167115,2403.037854447058,2504.2792412506014,2604.2125033124694,2588.5464782562003,2514.591804950095
NW_PARp-A,IC_LB,-225.53680930139433,-330.8252062449799,-498.05197945129214,-551.3876771183513,-541.8667928414334,-395.7479222267983,-291.4252078087651,-188.09281844401607,-15.585392944294426,-46.62969194434072,-23.008802392396092,38.5291514246253,31.672692637002797,139.67726676040195,208.9265928271176,249.3446604260373,223.44406108586327,175.49297961636216,137.79946404527277,231.0790950157725,322.77161083379383,411.7418802286702,386.65923350524145,303.710304584371
NW_PARp-A,mean,186.50963628289463,325.9045808940398,310.18072143333336,321.50723298657704,362.34112645270255,523.0787701700683,643.4557720205473,755.5708738965518,937.6115049652776,916.5355469580426,951.6468782746481,1024.7330866312052,1030.5917515357141,1144.8081310431653,1225.0281790942024,1277.6765563138688,1257.7363398161763,1212.4214164074074,1180.4802180223883,1280.6829865789477,1379.5100092045452,1476.124940572519,1458.8878401153836,1384.2293892635664
NW_PARp-A,IC_UB,598.5560818671836,982.6343680330594,1118.413422317959,1194.4021430915054,1266.5490457468386,1441.905462566935,1578.3367518498599,1699.2345662371197,1890.8084028748497,1879.7007858604259,1926.3025589416923,2010.937021837785,2029.5108104344254,2149.9389953259288,2241.1297653612874,2306.0084522017005,2292.0286185464893,2249.3498531984524,2223.160971999504,2330.286878142123,2436.2484075752964,2540.508000916368,2531.1164467255257,2464.748473942762
PARp-A_J_20,IC_LB,-198.9420794980877,-123.06891764695365,-230.17301215756868,-369.9422406322965,-621.7441191157087,-784.3567488137958,-810.7493548312108,-956.0102988231897,-986.3336586448297,-905.8648797851183,-781.2294112123265,-589.6372252027637,-530.5758554493079,-434.19446501300547,-370.5275550089036,-452.0758496490962,-616.9388356513944,-771.4986048561783,-718.1164788654422,-591.5112700211978,-496.5934066037654,-477.79449988301064,-538.0372183940395,-562.423532207212
PARp-A_J_20,mean,416.61360238915114,747.7459096621906,862.2914555326416,811.0414298081553,648.6176155884779,599.0894725478126,595.469338454359,367.818036797293,277.692090600558,344.2965471328218,490.2209937070555,686.9834421690176,800.648312689945,835.3628997866969,828.7033248611222,648.7728514688094,444.35921082962676,273.1239525848267,344.0915823259387,514.5078739842966,643.2203781183015,671.3972782093223,637.1491249739651,627.4008674885447
PARp-A_J_20,IC_UB,1032.16928427639,1618.5607369713348,1954.7559232228518,1992.025100248607,1918.9793502926645,1982.535693909421,2001.6880317399286,1691.6463724177756,1541.7178398459457,1594.457974050762,1761.6713986264376,1963.604109540799,2131.872480829198,2104.9202645863993,2027.934204731148,1749.621552586715,1505.657257310648,1317.7465100258319,1406.2996435173195,1620.527017989791,1783.0341628403685,1820.589056301655,1812.3354683419698,1817.2252671843014
PARp-A_J_30,IC_LB,-216.72951064327415,-198.03225416880957,-335.70730334471136,-318.9172801990835,-302.30441870162633,-358.4187199501389,-206.62241725596255,-205.87990092734105,-190.97774891869938,-177.24537456106282,-208.63663876509713,-182.54378183815732,-38.9597421427743,-9.980596998731244,25.51456420089994,63.935375713976555,49.65874899288406,-9.520561822550462,4.689597692301277,-53.95556744774285,-62.68139069513086,-77.20587095768019,-99.97548732616247,-122.60390171353015
PARp-A_J_30,mean,238.30155700023434,492.58631502614423,545.925639384138,651.33611252896,744.3608841350571,765.4582859278939,915.6455686309398,893.704706967237,915.308180926008,934.377626071139,911.9142281625398,940.9560899369302,1089.729608397886,1100.7682376399878,1127.5329285909731,1160.925323719147,1138.6512173203716,1077.4233513459103,1094.6876301420323,1045.5146043279415,1047.358445771537,1044.3174875011873,1039.3168288424797,1024.433947499856
