model,statistics
GAS,3.0022842313303094e14
NW_PARp,21509.51366223684
NW_PARp-A,20435.23460960525
PARp-A_J_20,13068.219649577453
PARp-A_J_30,20076.790382691037
PARp-A_J_40,25196.00465054913
PARp-A_J_50,16307.330154897802
PARp-A_J_60,17242.287601578093
PARp-A_J_70,16772.393342403604
PARp-A_J_80,18368.325308365627
PARp-A_R_1,19223.205540395276
PARp-A_R_3,17524.977237554496
PARp-A_R_10,11795.73112472804
SARIMA,6952.864277509123
SeasonalNaive,-759.4844471842081
StructuralModel,41639.536362763894
MonthlyMedian,6032.071365973675
