model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
GAS,IC_LB,-1206.6080516611657,48.8238715940588,-976.5270512953805,-795.1218155334327,-523.2583970714311,-369.11541918136436,-635.2079668896945,-687.6115185361882,-639.9598793993141,-598.2441667938099,-568.754682993105,50.80308514835724,632.0761785291115,1698.2621163652857,1290.2901681005746,1070.9122959403057,900.8387456311762,677.9954836471256,466.38330986941355,173.62596127844017,124.84924941786176,-69.62184071014735,182.2733850971772,641.3404299482968
GAS,mean,723.1228848032242,2130.607198141347,1409.0710399331963,1704.4308628407075,2005.0263870239503,2136.5508062971003,1787.5845819727701,1709.1258077321131,1848.7517733462846,1901.9846267009063,2046.0868106174933,2647.2853984587173,3418.587876467892,4814.960771369368,4080.0052767816865,3865.538285564406,3531.651938766973,3403.311977427927,3274.9442597168145,3008.9146879833856,3164.3720048542496,2737.070150381855,2908.9988504351854,3245.760391665201
GAS,IC_UB,2652.853821267614,4212.390524688635,3794.6691311617733,4203.983541214848,4533.311171119331,4642.2170317755645,4210.377130835235,4105.863134000414,4337.463426091883,4402.213420195622,4660.928304228091,5243.767711769077,6205.099574406672,7931.65942637345,6869.720385462799,6660.1642751885065,6162.465131902771,6128.628471208729,6083.505209564215,5844.203414688331,6203.894760290637,5543.762141473857,5635.724315773194,5850.180353382106
NW_PARp,IC_LB,-85.24896873424302,551.3148300507853,641.0674452697929,1135.1321027526253,1317.8637838708912,1690.2939087576774,1856.8234738212443,2178.6720997817833,2922.2728421022985,2695.4262428591646,2887.0113172622805,3156.9428694363396,3037.7475654265,3391.621888307822,3579.3072855230757,3523.9870502412186,3480.9739378889817,3545.503041784744,3568.2203827248813,3990.3654686004656,4200.469396486647,4475.820530913443,4390.98876932044,4082.402205708402
NW_PARp,mean,1021.0407492763158,1895.4403171523168,2167.483545933335,2632.3440965771815,2831.6795938513537,3252.904835986394,3465.4185951369855,3811.972706137931,4588.950325624999,4387.151002727271,4588.013798521125,4872.85085737589,4761.7144527857145,5101.531233021582,5301.048778188406,5261.874218175181,5240.304385220588,5311.719006592593,5312.050148432838,5737.691104436091,5955.712283257576,6241.037766335878,6164.550106846157,5862.178130930233
NW_PARp,IC_UB,2127.3304672868744,3239.565804253848,3693.8996465968767,4129.5560904017375,4345.4954038318165,4815.515763215111,5074.013716452727,5445.273312494079,6255.6278091477,6078.875762595377,6289.016279779969,6588.75884531544,6485.681340144929,6811.440577735342,7022.790270853736,6999.761386109144,6999.634832552195,7077.934971400443,7055.879914140794,7485.016740271717,7710.955170028505,8006.255001758313,7938.111444371874,7641.954056152064
NW_PARp-A,IC_LB,-205.88373832270713,383.10197202028735,408.8463404618335,882.6502999778036,1030.8350489425882,1406.5875992274928,1542.6003290958322,1802.1531036031295,2485.0059025591872,2244.826359305604,2457.2810413191432,2760.3165762160743,2678.846448429118,3085.222413307386,3318.9253105887938,3308.7932995236033,3313.6200667578323,3413.7768418814558,3464.823421767838,3924.8737971090636,4178.645365127841,4504.189648684032,4460.582513002697,4192.876115767261
NW_PARp-A,mean,913.6779038815789,1751.8555025827811,1966.8925826000018,2413.2327408724836,2589.5957762837847,3015.9962407482994,3195.664441027396,3486.165254413794,4209.623488819442,3998.5816635664346,4223.373245704226,4539.740495673759,4462.874981357142,4855.361912877699,5095.3303107971,5098.630871459854,5120.833396250002,5229.826195481481,5261.589219328359,5717.298288646615,5966.807484015153,6286.779071679394,6242.717210692306,5977.898871240309
NW_PARp-A,IC_UB,2033.239546085865,3120.609033145275,3524.9388247381703,3943.8151817671637,4148.356503624981,4625.404882269106,4848.72855295896,5170.177405224459,5934.241075079697,5752.336967827265,5989.465450089308,6319.164415131444,6246.903514285166,6625.501412448012,6871.7353110054055,6888.468443396104,6928.0467257421715,7045.875549081506,7058.35501688888,7509.722780184167,7754.969602902465,8069.368494674756,8024.851908381916,7762.921626713357
PARp-A_J_20,IC_LB,548.7967706349964,1288.9809113351876,1087.8419702185774,1483.3366573938101,1755.0351142146687,2244.304096954824,2151.729708123075,2114.270925929123,2178.258503457597,1926.8318990614684,2101.8658177142847,2236.9545629387876,2173.664573705351,1990.3267480736058,1729.0328884217547,1625.7437483111253,2335.6813499092605,2836.6171380426777,3281.069116943048,3331.1799044280574,3363.4760169339966,3507.741309241779,3629.8388973939054,3591.934092015012
