model,statistics
GAS,57967.15680080707
NW_PARp,96287.19425894742
NW_PARp-A,92353.03231157892
PARp-A_J_20,95682.08796569743
PARp-A_J_30,139855.03018797256
PARp-A_J_40,157537.35428700235
PARp-A_J_50,127123.11889905621
PARp-A_J_60,118489.93823125873
PARp-A_J_70,102073.92320719735
PARp-A_J_80,100976.79332231359
PARp-A_R_1,100808.03314340887
PARp-A_R_3,96091.45359393231
PARp-A_R_10,82693.8223365886
SARIMA,19302.671154884512
SARIMA_Log,58598.851075239596
SeasonalNaive,17193.246751842125
StructuralModel,10327.596387993493
StructuralModel_Log,77901.00353054164
MonthlyMedian,59322.88570631574
