model,statistics
GAS,87832.65787830424
NW_PARp,66228.55460531697
NW_PARp-A,65511.96046484277
PARp-A_J_20,83162.4189795144
PARp-A_J_30,104171.94627187541
PARp-A_J_40,107992.66127428629
PARp-A_J_50,83607.31168158664
PARp-A_J_60,79795.86838122543
PARp-A_J_70,70517.76997813626
PARp-A_J_80,69137.20730398208
PARp-A_R_1,68710.6666232243
PARp-A_R_3,66910.28188125549
PARp-A_R_10,64098.8703404438
SARIMA,49084.88213619171
SeasonalNaive,87288.0349288158
StructuralModel,99242.59427925342
MonthlyMedian,87585.50581657888
