model,statistics
GAS,115321.50800037595
NW_PARp,87257.77606105263
NW_PARp-A,87965.5341775
PARp-A_J_20,112325.17037774567
PARp-A_J_30,129883.40093116251
PARp-A_J_40,144190.07490472717
PARp-A_J_50,116448.79507843048
PARp-A_J_60,110458.37927673403
PARp-A_J_70,98632.98208605735
PARp-A_J_80,95694.53509602312
PARp-A_R_1,95234.39899431635
PARp-A_R_3,93288.12041171378
PARp-A_R_10,89078.15754983638
SARIMA,60538.41794785312
SeasonalNaive,87288.0349288158
StructuralModel,127872.83932185791
MonthlyMedian,87585.50581657888
