model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
GAS,IC_LB,-505.49291657550896,-151.41483702756204,-490.67533399477804,-334.5201267720179,-462.529887938726,-510.14295336090765,-620.2322723829674,-503.49726000762314,-405.783757909908,-343.13546266432945,-511.82529327221573,-171.56367655603754,-252.62272251557124,-145.9235100053154,-475.3087273442194,-882.9325925102011,-780.5952030248451,-788.8015548307934,-811.7366737253006,-795.2240309681872,-917.8272217051506,-956.4130911589725,-801.1951454362799,-860.7805177291109
GAS,mean,566.0869407732185,996.4221201732112,718.6718197522131,889.1723080951335,786.4278832363034,741.2609941069924,657.9916658146102,739.1516427907551,824.548123837799,916.6159930494266,771.4755050763649,1124.165399405823,1110.3552616327004,1236.7703007195198,926.2323117760842,560.4671203073789,739.2237610283986,701.608431919983,701.2512512004631,706.131539297448,604.3092395006349,562.8273185594408,760.6000635893841,757.2254001859758
GAS,IC_UB,1637.6667981219462,2144.2590773739844,1928.018973499204,2112.864742962285,2035.3856544113328,1992.6649415748925,1936.2156040121877,1981.8005455891334,2054.8800055855063,2176.3674487631824,2054.7763034249456,2419.8944753676838,2473.333245780972,2619.464111444355,2327.773350896388,2003.8668331249587,2259.0427250816424,2192.0184186707593,2214.239176126227,2207.4871095630833,2126.44570070642,2082.0677282778543,2322.3952726150483,2375.2313181010622
NW_PARp,IC_LB,-1095.2980569515728,-1364.5282712250487,-1518.7490902952122,-1481.8067014028904,-1878.6002162255415,-1874.7354781275876,-1794.9832535123135,-1780.868192593438,-1344.1982790218633,-1717.238536513256,-1658.1635052369065,-1645.347893572782,-1803.143647522155,-1777.2700170949192,-1522.6039696076723,-1661.611884811616,-1626.3327445998946,-1634.091943333348,-1778.9464699508496,-1627.9303244564867,-1778.7118106956766,-1642.532178498432,-1793.2091850299564,-1947.9647314468389
NW_PARp,mean,-240.42003658552608,-281.53435470860916,-356.4387404066671,-267.8260071208055,-612.5769835202711,-556.9927419115642,-433.3814524726022,-415.65042800689673,6.213020409722351,-356.25299693006974,-286.49764831690055,-265.3934968865244,-417.1590397214273,-381.92086374820246,-119.27347870289813,-252.11490920437896,-208.822573977941,-210.33368193333328,-341.614160902985,-179.5150944436097,-323.74324667424224,-184.56145848091728,-327.3285927769235,-473.77611675193685
NW_PARp,IC_UB,614.4579837805206,801.4595618078305,805.871609481878,946.1546871612793,653.4462491849993,760.7499943044592,928.2203485671091,949.5673365796443,1356.6243198413079,1004.7325426531165,1085.1682086031055,1114.560899799733,968.8255680793006,1013.4282895985143,1284.0570122018762,1157.3820664028578,1208.6875966440127,1213.4245794666813,1095.7181481448795,1268.9001355692671,1131.225317347192,1273.4092615365973,1138.5519994761096,1000.4124979429653
NW_PARp-A,IC_LB,-1076.3760819511342,-1298.147468338346,-1422.5224821423496,-1360.8910857342983,-1762.5263137005393,-1707.441894502943,-1634.395769255921,-1630.2435996572428,-1189.6327760149957,-1573.78709922482,-1511.9177734851557,-1495.3320841717034,-1668.5333552941643,-1677.4086824374076,-1437.8903423825968,-1594.5927622171632,-1577.498464213977,-1591.605200925126,-1728.4543413054123,-1585.7380132478938,-1748.0710253282168,-1601.2618474325404,-1751.5585040013138,-1909.5824562553335
NW_PARp-A,mean,-237.9682207960529,-251.91848715894048,-309.03762707333385,-202.86195342953025,-554.2035477094594,-457.7716636802724,-338.23912370548,-327.1931866275865,100.97556554861083,-262.6473151118886,-180.74290888028125,-158.01082312765965,-321.57582900714334,-312.2576047553958,-62.84526855797144,-208.24514278102114,-176.22190853676486,-181.79924489629664,-302.1422317985075,-146.99538767669173,-302.8994853106061,-153.4397638244279,-295.11711970000016,-440.7318066744182
NW_PARp-A,IC_UB,600.4396403590285,794.3104940204651,804.4472279956819,955.1671788752377,654.1192182816205,791.898567142398,957.9175218449612,975.8572264020697,1391.5839071122173,1048.4924690010425,1150.4319557245933,1179.310437916384,1025.3816972798777,1052.8934729266161,1312.199805266654,1178.102476655121,1225.0546471404473,1228.0067111325327,1124.1698777083973,1291.7472378945104,1142.2720547070048,1294.3823197836846,1161.3242646013136,1028.1188429064973
PARp-A_J_20,IC_LB,-69.33604901132128,228.93698651851219,151.3532082812535,88.68093817835825,-259.8337773146495,-293.89284067991525,-339.2242457659763,-217.67588388497347,-225.9379903287561,-131.28252117280704,-107.74845808323016,-256.50760525863234,-335.3308068166008,-332.4936205960764,-391.320189707693,-421.8722408604574,-460.5081362576086,-455.77232505621146,-371.83438399796705,-352.86623309645415,-485.36043297870367,-532.0659330986318,-604.061989782247,-571.9628798813999
PARp-A_J_20,mean,995.4287233300234,1549.9071839429657,1478.4594275581735,1484.9305560124749,1165.5340100001322,1117.2642616825797,1102.0430778053767,1224.0129169256813,1150.5463984864746,1261.9608799017267,1249.2467805661472,1082.9955215136504,992.550819738408,1042.3732543798262,995.5987632173948,986.1225682820107,958.3249825528508,960.9657886659397,1044.78855049915,1056.5833590487084,931.984013262847,892.6238693786299,840.7012322018348,883.0437445820073
PARp-A_J_20,IC_UB,2060.193495671368,2870.8773813674193,2805.5656468350935,2881.1801738465915,2590.901797314914,2528.4213640450744,2543.3104013767297,2665.701717736336,2527.0307873017055,2655.2042809762606,2606.2420192155246,2422.498648285933,2320.432446293417,2417.2401293557286,2382.5177161424826,2394.117377424479,2377.1581013633104,2377.7039023880907,2461.411484996267,2466.0329511938708,2349.328459504398,2317.3136718558917,2285.4644541859166,2338.0503690454143
