model,statistics
GAS,35931.57630239163
NW_PARp,31915.080984709217
NW_PARp-A,30469.652253326716
PARp-A_J_20,37530.79086589436
PARp-A_J_30,35948.75374305755
PARp-A_J_40,37148.14601675489
PARp-A_J_50,32584.01778056193
PARp-A_J_60,31504.976851853717
PARp-A_J_70,32193.537804608277
PARp-A_J_80,31279.65024617481
PARp-A_R_1,30450.06340431741
PARp-A_R_3,30717.61399228628
PARp-A_R_10,32279.52842998139
SARIMA,59742.72244249971
SARIMA_Log,100072.9531985477
SeasonalNaive,61252.96386663155
StructuralModel,59994.16502242565
StructuralModel_Log,89674.16133677453
MonthlyMedian,56544.1753535921
