dates;SE;S;NE;N
1931-01-01;69317.43;7387.41;14093.85;15764.4
1931-02-01;103221.71;3292.82;13143.88;25975.9
1931-03-01;107163.33;3512.54;18853.06;33212.46
1931-04-01;80191.47;2356.13;20861.6;36119.34
1931-05-01;54985.77;17579.8;14266.7;23369.29
1931-06-01;40742.57;16492.95;7171.22;14843.45
1931-07-01;31972.44;13096.83;5548.64;6549.77
1931-08-01;25415.15;5939.73;4815.98;3991.72
1931-09-01;25927.75;15376.53;4235.06;2832.17
1931-10-01;27668.12;7805.3;4023.56;3281.2
1931-11-01;31860.96;4491.82;5860.89;5935.11
1931-12-01;47556.33;5438.55;6244.84;8713.41
1932-01-01;69316.91;5263.97;11115.99;15088.57
1932-02-01;76915.95;8039.36;13495.98;21289.35
1932-03-01;68536.59;8964.33;9693.4;26234.2
1932-04-01;51802.14;22965.08;6153.21;19063.59
1932-05-01;40218.36;17059.17;4270.51;11874.94
1932-06-01;35205.42;14142.21;3849.59;6832.85
1932-07-01;27370.06;10018.96;3500.14;4600.56
1932-08-01;21321.99;7176.4;2973.17;2757.47
1932-09-01;17886.26;13546.33;2711.37;2181
1932-10-01;25311.49;13658.92;2780.08;2576.94
1932-11-01;31559.84;5935.13;5511.52;4411.12
1932-12-01;58513.45;7975.92;10204.41;8255.26
1933-01-01;79846.9;2988.82;14863.15;13278.75
1933-02-01;68511.38;3631.29;16864.59;23010.55
1933-03-01;58395.61;3163.49;10330.86;25071.5
1933-04-01;53313.6;1911.4;8669.86;26140.19
1933-05-01;38402.18;2369.48;5977.64;21240.02
1933-06-01;27986.78;2577.82;4062.95;9826.26
1933-07-01;21754.79;2749.33;3772.57;4950.06
1933-08-01;17171.03;4110.5;3276.57;2928.32
1933-09-01;16155.38;5905.32;2742.26;1950.22
1933-10-01;21003.13;11668.94;3246.53;2109.3
1933-11-01;22670.65;4902.44;5562.48;5174.11
1933-12-01;44382.01;2065.81;9953.48;9722.36
1934-01-01;57524.08;4145.92;17840.23;15585.33
1934-02-01;52719.16;8994.01;14133.92;20312.13
1934-03-01;52100.22;5645.11;8383.17;26172.49
1934-04-01;43256.2;7732.74;5252.49;27131.28
1934-05-01;30965.9;6622.61;5426.62;22621.29
1934-06-01;22893.08;4981.92;3634.41;11821.45
1934-07-01;18628.85;3932.29;3052.47;5430.79
1934-08-01;13750.12;5356.85;2765.94;3142.1
1934-09-01;13868.5;5865.42;3022.81;1854.83
1934-10-01;15129.58;6730.58;3030.99;2284.51
1934-11-01;18335.35;2832.62;3004.05;2988.98
1934-12-01;46521.67;5756.39;5006.49;8486.1
1935-01-01;72044.06;3055.13;12947.17;21893.72
1935-02-01;91250.1;2345.19;16816.71;28608.81
1935-03-01;80276;3891.52;17192;30695.89
1935-04-01;71617.83;2224.77;13620.38;36458.88
1935-05-01;44921.14;1448.94;12510.58;28008.43
1935-06-01;33567.01;4882.17;6126.88;18520.2
1935-07-01;25153.27;9559.16;4744.85;7257.28
1935-08-01;23890.11;13885.63;3750.76;4638.13
