NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
   1 POTEF   640.00  6 2022          ANGRA 1
   1 FCMAX    78.10  6 2022  6 2022  
   1 TEIFT     0.00  6 2022  7 2022  
   1 GTMIN   499.81  6 2022  6 2022  
   1 FCMAX   100.00  7 2022          
   1 GTMIN   509.82  7 2022  7 2022  
   1 GTMIN   100.29  8 2022  8 2022  
   1 GTMIN   207.24  9 2022  9 2022  
   1 GTMIN   509.82 10 2022          
  13 POTEF  1350.00  6 2022          ANGRA 2
  13 FCMAX    36.67  6 2022  6 2022  
  13 TEIFT     0.00  6 2022  7 2022  
  13 GTMIN   495.02  6 2022  6 2022  
  13 FCMAX    20.96  7 2022  7 2022  
  13 GTMIN   282.92  7 2022  7 2022  
  13 FCMAX   100.00  8 2022          
  13 GTMIN  1080.00  8 2022          
 211 POTEF   530.00  6 2022          BAIXADA FLU
 211 FCMAX   100.00  6 2022          
 211 TEIFT     0.00  6 2022  7 2022  
 256 POTEF    80.00  9 2024          CIDADE LIVRO
  97 POTEF   216.00  6 2022 12 2024  CUBATAO
  97 FCMAX    94.40  6 2022  6 2022  
  97 TEIFT     0.00  6 2022  7 2022  
  97 GTMIN    86.40  6 2022  9 2022  
  97 FCMAX    96.76  7 2022  7 2022  
  97 FCMAX   100.00  8 2022 12 2024  
  97 GTMIN    46.23 10 2022 10 2022  
  97 GTMIN    86.40 11 2022          
  97 POTEF   249.90  1 2025          CUBATAO
  97 FCMAX    86.43  1 2025          
  97 IPTER     8.65  1 2025          
  97 TEIFT    11.35  1 2025          
  12 POTEF   529.20  6 2022          CUIABA G CC
  12 FCMAX    66.33  6 2022  7 2022  
  12 TEIFT     0.00  6 2022 10 2022  
  12 GTMIN   350.99  6 2022  7 2022  
  12 FCMAX    63.12  8 2022 10 2022  
  12 GTMIN   325.69  8 2022 10 2022  
  12 FCMAX     0.00 11 2022          
 153 POTEF    44.44  6 2022          DAIA
 153 FCMAX     0.00  6 2022          
  65 POTEF   254.80  6 2022          DO ATLAN_CSA
  65 FCMAX    54.05  6 2022  6 2022  
  65 TEIFT     0.00  6 2022  7 2022  
  65 GTMIN   137.71  6 2022  6 2022  
  65 FCMAX    48.44  7 2022  7 2022  
  65 GTMIN   123.41  7 2022  7 2022  
  65 FCMAX    93.00  8 2022          
  65 GTMIN   220.22  8 2022  8 2022  
  65 GTMIN   235.40  9 2022  1 2023  
  65 IPTER     0.00  1 2023  1 2023  
  65 IPTER     7.14  2 2023  2 2023  
  65 GTMIN   218.59  2 2023  2 2023  
  65 IPTER    25.81  3 2023  3 2023  
  65 GTMIN   174.64  3 2023  3 2023  
  65 IPTER    23.33  4 2023  4 2023  
  65 GTMIN   180.48  4 2023  4 2023  
  65 IPTER     0.00  5 2023 10 2023  
  65 GTMIN   235.40  5 2023 10 2023  
  65 IPTER     6.67 11 2023 11 2023  
  65 GTMIN   219.70 11 2023 11 2023  
  65 IPTER     0.00 12 2023  2 2024  
  65 GTMIN   235.40 12 2023  2 2024  
  65 IPTER    41.94  3 2024  3 2024  
  65 GTMIN   136.67  3 2024  3 2024  
  65 IPTER     0.00  4 2024  8 2024  
  65 GTMIN   235.40  4 2024  8 2024  
  65 IPTER     6.67  9 2024  9 2024  
  65 GTMIN   219.70  9 2024  9 2024  
  65 IPTER     0.00 10 2024 10 2024  
  65 GTMIN   235.40 10 2024 10 2024  
  65 IPTER     6.67 11 2024 11 2024  
  65 GTMIN   219.70 11 2024 11 2024  
  65 IPTER     0.00 12 2024  4 2025  
  65 GTMIN   235.40 12 2024  4 2025  
  65 IPTER     6.45  5 2025  5 2025  
  65 GTMIN   220.22  5 2025  5 2025  
  65 IPTER     0.00  6 2025  6 2025  
  65 GTMIN   235.40  6 2025  6 2025  
  65 IPTER     6.45  7 2025  7 2025  
  65 GTMIN   220.22  7 2025  7 2025  
  65 IPTER     0.00  8 2025 12 2025  
  65 GTMIN   235.40  8 2025 12 2025  
  65 IPTER     6.45  1 2026  1 2026  
  65 GTMIN   220.22  1 2026  1 2026  
  65 IPTER     0.00  2 2026  3 2026  
  65 GTMIN   235.40  2 2026  3 2026  
  65 IPTER    96.67  4 2026  4 2026  
  65 GTMIN     7.83  4 2026  4 2026  
  65 IPTER    45.16  5 2026  5 2026  
  65 GTMIN   129.09  5 2026  5 2026  
  65 IPTER     0.00  6 2026          
