EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
13ELENUCLEAR       1ANGRA 1           1 06082022  46    640.00
68PETROBRAS      211BAIXADA FLU       3 21082022  32    186.00
68PETROBRAS       97CUBATAO           1 26092022  36    166.13
92TERNIUM         65DO ATLAN_CSA      1 01082022   2    254.80
68PETROBRAS       54JUIZ DE FORA      2 23102022   1     43.11
30KARKEY KARA    245KARKEY 013        1 15092022   2     20.22
30KARKEY KARA    245KARKEY 013        1 15122022   2     20.22
30KARKEY KARA    245KARKEY 013        2 15092022   2     20.22
30KARKEY KARA    245KARKEY 013        2 15122022   2     20.22
30KARKEY KARA    245KARKEY 013        3 15092022   2     20.22
30KARKEY KARA    245KARKEY 013        3 15122022   2     20.22
30KARKEY KARA    245KARKEY 013        4 15092022   2     20.22
30KARKEY KARA    245KARKEY 013        4 15122022   2     20.22
30KARKEY KARA    245KARKEY 013        5 15092022   2     20.22
30KARKEY KARA    245KARKEY 013        5 15122022   2     20.22
30KARKEY KARA    245KARKEY 013        6 15092022   2     20.22
30KARKEY KARA    245KARKEY 013        6 15122022   2     20.22
30KARKEY KARA    245KARKEY 013        7 18092022   2     20.22
30KARKEY KARA    245KARKEY 013        7 18122022   2     20.22
30KARKEY KARA    245KARKEY 013        8 18092022   2     20.22
30KARKEY KARA    245KARKEY 013        8 18122022   2     20.22
30KARKEY KARA    245KARKEY 013        9 18092022   2     20.22
30KARKEY KARA    245KARKEY 013        9 18122022   2     20.22
30KARKEY KARA    245KARKEY 013       10 18092022   2     20.22
30KARKEY KARA    245KARKEY 013       10 18122022   2     20.22
30KARKEY KARA    245KARKEY 013       11 18092022   2     20.22
30KARKEY KARA    245KARKEY 013       11 18122022   2     20.22
30KARKEY KARA    245KARKEY 013       12 18092022   2     20.22
30KARKEY KARA    245KARKEY 013       12 18122022   2     20.22
30KARKEY KARA    246KARKEY 019        1 15112022   2     18.32
30KARKEY KARA    246KARKEY 019        2 15112022   2     18.32
