UH   ME ANO   P  MWmedio
XXX  XX XXXX  X  XXXX.X
 66   6 2022  0  4338.1
 66   7 2022  0  4345.5
 66   8 2022  0  4500.0
 66  10 2022  0  4449.0
 66  11 2022  0  4525.0
 66  12 2022  0  5000.0
 66   1 2023  0  4500.0
 66   2 2023  0  4939.0
 66   3 2023  0  4596.0
 66   4 2023  0  4500.0
 66   5 2023  0  4487.0
 66   6 2023  0  4500.0
 66  11 2023  0  4930.0
 66  12 2023  0  5000.0
 66   1 2024  0  4500.0
 66   2 2024  0  4969.0
 66   3 2024  0  5005.0
 66   4 2024  0  4500.0
 66  11 2024  0  5041.0
 66  12 2024  0  5115.0
 66   1 2025  0  4500.0
 66   2 2025  0  5000.0
 66   4 2025  0  4500.0
 66  11 2025  0  5000.0
 66  12 2025  0  5250.0
 66   1 2026  0  4500.0
 66   2 2026  0  5000.0
 66   4 2026  0  4540.0
 66   5 2026  0  4500.0
 66  11 2026  0  5000.0
 66  12 2026  0  5392.0
 66   1 POS   0  4500.0
 66   2 POS   0  5000.0
 66   4 POS   0  4540.0
 66   5 POS   0  4500.0
 66  11 POS   0  5000.0
 66  12 POS   0  5392.0
275   6 2022  0  1477.5
275   7 2022  0  1480.0
275   8 2022  0  1500.0
275   9 2022  0  1400.0
275  10 2022  0  1300.0
275  12 2022  0  1400.0
275   2 2023  0  1600.0
275   8 2023  0  1500.0
275   9 2023  0  1400.0
275  10 2023  0  1300.0
275  12 2023  0  1400.0
275   2 2024  0  1600.0
275   8 2024  0  1500.0
275   9 2024  0  1400.0
275  10 2024  0  1300.0
275  12 2024  0  1400.0
275   2 2025  0  1600.0
275   8 2025  0  1500.0
275   9 2025  0  1400.0
275  10 2025  0  1300.0
275  12 2025  0  1400.0
275   2 2026  0  1600.0
275   8 2026  0  1500.0
275   9 2026  0  1400.0
275  10 2026  0  1300.0
275  12 2026  0  1400.0
275   2 POS   0  1600.0
275   8 POS   0  1500.0
275   9 POS   0  1400.0
275  10 POS   0  1300.0
275  12 POS   0  1400.0
999
