model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
GAS,IC_LB,-278.3428906227472,-240.9221043726003,-287.86886556777205,-444.59582168481995,-473.0527063082927,-607.3691998247824,-625.5195932064885,-653.9080985976192,-599.443588939474,-575.9469159898129,-558.4582072880253,-604.7097708892147,-466.5593778754794,-119.72819188429412,-114.72441033869336,-314.034102692603,-481.0244860953162,-521.7396427892077,-553.2632933026334,-905.2610610853922,-970.3656587197263,-1013.5316591460266,-1087.3772839469266,-1212.1110891306298
GAS,mean,167.52518041081737,734.4563680195149,329.16123825828316,140.5672302880794,122.27344109700064,0.5300695565561774,-1.3029705306372519,10.972703432470443,93.06220944106056,169.44296185266103,372.68116535693196,1098.4240253812532,2033.282747831044,2850.08084182859,2789.498016856157,2127.263779702995,1501.0222394636821,1166.1671409437274,1151.928514515661,602.1330058650381,727.9233302946375,1081.6410453166125,2043.1629131056202,3623.0341972520027
GAS,IC_UB,613.3932514443819,1709.83484041163,946.1913420843384,725.7302822609787,717.599588502294,608.4293389378948,622.913652145214,675.8535054625601,785.5680078215951,914.8328396951349,1303.8205380018892,2801.557821651721,4533.1248735375675,5819.889875541474,5693.720444051007,4568.561662098593,3483.0689650226805,2854.0739246766625,2857.1203223339553,2109.5270728154683,2426.212319309001,3176.8137497792513,5173.703110158167,8458.179483634634
NW_PARp,IC_LB,418.3285883566764,820.418135768103,1050.717760344439,1204.3961827071194,1413.1176225047188,1589.167838612556,1717.2371040738583,1890.551939662454,2113.4148589281153,2242.1437604230923,2322.31328521345,2412.122864936324,2466.7189979877057,2588.9703978200523,2631.132171458005,2651.4303950873937,2630.453992158972,2627.8430226628957,2662.687300624611,2750.9687229418696,2877.910622480817,2951.12232930298,2953.338849294376,2898.441486380832
NW_PARp,mean,723.323583217105,1276.344984430464,1610.8211143266683,1820.22377952349,2049.514362493242,2243.6444431904765,2382.6275421164382,2560.155783786205,2788.5215600625006,2920.8833402027976,3008.0500256971814,3104.02308261702,3163.53561535,3285.042202510793,3330.1132329637676,3354.8351981678825,3338.222287860295,3338.547386288888,3374.6490757388083,3466.376290593984,3599.191781431819,3677.9036156412208,3684.680270376922,3633.9850747984506
NW_PARp,IC_UB,1028.3185780775336,1732.2718330928249,2170.9244683088973,2436.051376339861,2685.9111024817653,2898.121047768397,3048.0179801590184,3229.759627909956,3463.628261196886,3599.622919982503,3693.7867661809128,3795.923300297716,3860.3522327122946,3981.1140072015332,4029.0942944695303,4058.2400012483713,4045.990583561618,4049.2517499148803,4086.6108508530056,4181.783858246098,4320.4729403828205,4404.684901979462,4416.0216914594685,4369.528663216069
NW_PARp-A,IC_LB,227.40445342957588,449.99168374883493,590.3187914232506,681.1447803922428,856.4231035976119,988.4179163845689,1060.221370269399,1170.570169869262,1342.7506117848957,1423.3430217764212,1495.7863361314935,1584.5988172284033,1646.1673561908997,1811.4394446303418,1893.4671272130604,1949.2305490880024,1953.8447571538456,1977.748702034015,2035.1680417233194,2142.5102948179097,2290.0408455318866,2377.6756398528673,2404.784988254243,2376.3118411748114
NW_PARp-A,mean,536.3260009802634,904.3962857549669,1144.2301309933332,1286.0947023422827,1474.708119250001,1620.144062238095,1701.15476129452,1817.8200906827597,1997.5474593680547,2084.2419101328683,2163.0988883732407,2267.9469797801416,2336.6314332071433,2504.6200622230226,2593.168091659421,2654.6147200656947,2666.1940084485295,2695.9203085111108,2756.616460067164,2868.9728319473675,3023.4379897651515,3117.51750877099,3151.39158576154,3133.376908131783
NW_PARp-A,IC_UB,845.247548530951,1358.800887761099,1698.1414705634159,1891.0446242923226,2092.99313490239,2251.8702080916214,2342.0881523196413,2465.0700114962574,2652.3443069512136,2745.1407984893153,2830.411440614988,2951.29514233188,3027.095510223387,3197.8006798157035,3292.8690561057815,3359.9988910433867,3378.5432597432136,3414.0919149882066,3478.064878411009,3595.4353690768253,3756.8351339984165,3857.3593776891125,3897.9981832688363,3890.441975088754
PARp-A_J_20,IC_LB,58.07709275726546,27.975021750425867,181.65268433066183,358.0113057112893,494.47815714732656,466.8995573746764,455.01077358321015,441.39322906794064,374.11604256465216,551.156591023503,481.68047452050394,494.01890260601886,744.4713811714888,766.1957180058064,737.882355061424,568.6611102896288,480.05588142836723,466.836763125835,481.5918724474543,504.51279196695714,435.70186519972356,485.971585257069,463.8514633001629,458.57008368836057
