model,statistics
GAS,22339.962411029912
NW_PARp,61796.65715181576
NW_PARp-A,47750.32407615788
PARp-A_J_20,25805.94629600801
PARp-A_J_30,30242.550558281175
PARp-A_J_40,31811.62612108751
PARp-A_J_50,29519.138005286826
PARp-A_J_60,33420.43728853316
PARp-A_J_70,41396.549737233916
PARp-A_J_80,42433.41317827081
PARp-A_R_1,42880.64504891208
PARp-A_R_3,38781.30015712512
PARp-A_R_10,29409.688841753636
SARIMA,10410.405867213638
SARIMA_Log,13875.932610204152
SeasonalNaive,451.51544081578595
StructuralModel,-128.61055878949364
StructuralModel_Log,32904.18430187828
MonthlyMedian,2691.302000131562
