model,statistics
GAS,1.501142572284042e11
NW_PARp,25132.1655747503
NW_PARp-A,24644.62866757694
PARp-A_J_20,32333.085683908448
PARp-A_J_30,28862.07910507269
PARp-A_J_40,29505.681466294303
PARp-A_J_50,25310.054864643433
PARp-A_J_60,25273.052999648968
PARp-A_J_70,23980.435709147165
PARp-A_J_80,24910.137844583325
PARp-A_R_1,24380.25396309223
PARp-A_R_3,23857.094820929033
PARp-A_R_10,23802.604928944962
SARIMA,29020.276328384545
SARIMA_Log,30075.879406113112
SeasonalNaive,44295.60166778948
StructuralModel,60181.26328865836
StructuralModel_Log,49780.79751354656
MonthlyMedian,43765.87086535529
