model,statistics
GAS,60994.471059325144
NW_PARp,32083.306062131567
NW_PARp-A,31190.687600381585
PARp-A_J_20,40143.245562284166
PARp-A_J_30,36744.68280686172
PARp-A_J_40,37744.24684987615
PARp-A_J_50,32557.86224018984
PARp-A_J_60,32046.586809066535
PARp-A_J_70,30658.482700989913
PARp-A_J_80,32382.43279676118
PARp-A_R_1,31494.614034445156
PARp-A_R_3,30002.86832725383
PARp-A_R_10,30297.69909331332
SARIMA,40747.94242198243
SARIMA_Log,41828.905489804565
SeasonalNaive,44295.60166778948
StructuralModel,62442.340388675024
StructuralModel_Log,63394.26784167402
MonthlyMedian,43765.87086535529
