model,statistics
GAS,17686.971082388318
NW_PARp,-6948.548480026316
NW_PARp-A,-5640.609680684208
PARp-A_J_20,24603.973212756548
PARp-A_J_30,21476.464637238365
PARp-A_J_40,22392.906590623665
PARp-A_J_50,12872.857696551022
PARp-A_J_60,6069.131867562942
PARp-A_J_70,-758.3837310583947
PARp-A_J_80,-6005.558243282203
PARp-A_R_1,-5911.489422598778
PARp-A_R_3,-4739.892755646056
PARp-A_R_10,1186.0042430711003
SARIMA,-3077.2210980505724
SARIMA_Log,317812.170832195
SeasonalNaive,8269.682150026314
StructuralModel,7753.408701793875
StructuralModel_Log,242604.94096679863
MonthlyMedian,-6016.565233315786
