model,statistics
GAS,52338.96298106248
NW_PARp,51495.75509146055
NW_PARp-A,48282.060463671085
PARp-A_J_20,49542.23838752253
PARp-A_J_30,46290.919378266015
PARp-A_J_40,49485.754187667335
PARp-A_J_50,45327.69273708185
PARp-A_J_60,45943.29963193487
PARp-A_J_70,48651.52240833407
PARp-A_J_80,49017.1285103531
PARp-A_R_1,47706.00676609843
PARp-A_R_3,47948.26837084781
PARp-A_R_10,49441.754874821716
SARIMA,68588.53194479743
SARIMA_Log,86175.02557673413
SeasonalNaive,61252.96386663155
StructuralModel,73899.14753060843
StructuralModel_Log,80294.53356523279
MonthlyMedian,56544.1753535921
