 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1  SUDESTE        CONS.ITAIPU
2022                                               18.     18.     18.     18.     18.     18.     18.
2023       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2024       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2025       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2026       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
POS        18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
   1  SUDESTE               ANDE
2022                                             1646.   1670.   1651.   1677.   1531.   2107.   2447.
2023     1785.   2221.   2178.   1833.   1569.   1636.   1648.   1733.   1761.   1608.   2212.   2569.
2024     1874.   2251.   2287.   1925.   1647.   1718.   1731.   1820.   1849.   1688.   2323.   2697.
2025     1968.   2448.   2401.   2021.   1729.   1803.   1817.   1911.   1941.   1772.   2439.   2832.
2026     2066.   2571.   2521.   2122.   1816.   1894.   1908.   2006.   2039.   1861.   2561.   2974.
POS      2066.   2571.   2521.   2122.   1816.   1894.   1908.   2006.   2039.   1861.   2561.   2974.
 999
